title,genres,director,actor1,actor2,actor3,comb
annihilation,Action Science Fiction Horror Mystery,Alex Garland,Natalie Portman,Jennifer Jason Leigh,Gina Rodriguez,Natalie Portman Jennifer Jason Leigh Gina Rodriguez Alex Garland Action Science Fiction Horror Mystery
every day,Drama Fantasy Romance,Michael Sucsy,Angourie Rice,Maria Bello,Debby Ryan,Angourie Rice Maria Bello Debby Ryan Michael Sucsy Drama Fantasy Romance
the cured,Horror Drama Science Fiction,David Freyne,,Sam Keeley,Tom Vaughan-Lawlor, Sam Keeley Tom Vaughan-Lawlor David Freyne Horror Drama Science Fiction
the lodgers,Drama Horror Romance Thriller,Brian O'Malley,Charlotte Vega,Bill Milner,Eugene Simon,Charlotte Vega Bill Milner Eugene Simon Brian O'Malley Drama Horror Romance Thriller
red sparrow,Mystery Thriller,Francis Lawrence,Jennifer Lawrence,Joel Edgerton,Matthias Schoenaerts,Jennifer Lawrence Joel Edgerton Matthias Schoenaerts Francis Lawrence Mystery Thriller
death wish,Action Crime Drama Thriller,Eli Roth,Bruce Willis,Vincent D'Onofrio,Dean Norris,Bruce Willis Vincent D'Onofrio Dean Norris Eli Roth Action Crime Drama Thriller
the vanishing of sidney hall,Drama Mystery,Shawn Christensen,Jason Dolan (screenplay); Logan Lerman,Elle Fanning,Michelle Monaghan,Jason Dolan (screenplay); Logan Lerman Elle Fanning Michelle Monaghan Shawn Christensen Drama Mystery
foxtrot,Comedy Drama War,Samuel Maoz,Lior Ashkenazi,Sarah Adler,Yonatan Shiray,Lior Ashkenazi Sarah Adler Yonatan Shiray Samuel Maoz Comedy Drama War
pickings,Action Crime Thriller Drama Mystery,Usher Morgan,Elyse Price,Joel Bernard,Katie Vincent,Elyse Price Joel Bernard Katie Vincent Usher Morgan Action Crime Thriller Drama Mystery
a wrinkle in time,Adventure Science Fiction Family Fantasy,Ava DuVernay,Storm Reid,Oprah Winfrey,Reese Witherspoon,Storm Reid Oprah Winfrey Reese Witherspoon Ava DuVernay Adventure Science Fiction Family Fantasy
gringo,Comedy Action,Nash Edgerton,David Oyelowo,Charlize Theron,Joel Edgerton,David Oyelowo Charlize Theron Joel Edgerton Nash Edgerton Comedy Action
thoroughbreds,Drama Thriller,Cory Finley,Olivia Cooke,Anya Taylor-Joy,Anton Yelchin,Olivia Cooke Anya Taylor-Joy Anton Yelchin Cory Finley Drama Thriller
the death of stalin,Comedy Drama History,Armando Iannucci,Steve Buscemi,Simon Russell Beale,Paddy Considine,Steve Buscemi Simon Russell Beale Paddy Considine Armando Iannucci Comedy Drama History
the leisure seeker,Drama Romance Adventure,Paolo Virzì,Francesca Archibugi,Helen Mirren,,Francesca Archibugi Helen Mirren  Paolo Virzì Drama Romance Adventure
the strangers: prey at night,Horror Thriller,Johannes Roberts,Christina Hendricks,Martin Henderson,Bailee Madison,Christina Hendricks Martin Henderson Bailee Madison Johannes Roberts Horror Thriller
the hurricane heist,Action Crime Thriller,Rob Cohen,Toby Kebbell,Maggie Grace,Ryan Kwanten,Toby Kebbell Maggie Grace Ryan Kwanten Rob Cohen Action Crime Thriller
tomb raider,Action Adventure Fantasy,Roar Uthaug,Alicia Vikander,Dominic West,Walton Goggins,Alicia Vikander Dominic West Walton Goggins Roar Uthaug Action Adventure Fantasy
"love, simon",Comedy Drama Romance,Greg Berlanti,Nick Robinson,Katherine Langford,Alexandra Shipp,Nick Robinson Katherine Langford Alexandra Shipp Greg Berlanti Comedy Drama Romance
i can only imagine,Music Drama,Jon Erwin,Andrew Erwin (co-director),Dennis Quaid,Priscilla Shirer,Andrew Erwin (co-director) Dennis Quaid Priscilla Shirer Jon Erwin Music Drama
7 days in entebbe,Thriller Drama Crime,José Padilha,Rosamund Pike,Daniel Brühl,Vincent Cassel,Rosamund Pike Daniel Brühl Vincent Cassel José Padilha Thriller Drama Crime
furlough,Comedy,Laurie Collyer,Melissa Leo,Tessa Thompson,La La Anthony,Melissa Leo Tessa Thompson La La Anthony Laurie Collyer Comedy
josie,Comedy Music,Eric England,Sophie Turner,Dylan McDermott,Jack Kilmer,Sophie Turner Dylan McDermott Jack Kilmer Eric England Comedy Music
flower,Drama Comedy,Max Winkler,Zoey Deutch,Kathryn Hahn,Tim Heidecker,Zoey Deutch Kathryn Hahn Tim Heidecker Max Winkler Drama Comedy
pacific rim: uprising,Action Fantasy Science Fiction Adventure,Steven S. DeKnight,Emily Carmichael,Scott Eastwood,Cailee Spaeny,Emily Carmichael Scott Eastwood Cailee Spaeny Steven S. DeKnight Action Fantasy Science Fiction Adventure
isle of dogs,Adventure Comedy Animation,Wes Anderson,Bryan Cranston,Edward Norton,Bill Murray,Bryan Cranston Edward Norton Bill Murray Wes Anderson Adventure Comedy Animation
sherlock gnomes,Animation Family Fantasy Comedy Adventure Mystery,John Stevenson,James McAvoy,Emily Blunt,Johnny Depp,James McAvoy Emily Blunt Johnny Depp John Stevenson Animation Family Fantasy Comedy Adventure Mystery
unsane,Horror Thriller,Steven Soderbergh,Claire Foy,Joshua Leonard,Jay Pharoah,Claire Foy Joshua Leonard Jay Pharoah Steven Soderbergh Horror Thriller
"paul, apostle of christ",History Drama,Andrew Hyatt,James Faulkner,Jim Caviezel,Olivier Martinez,James Faulkner Jim Caviezel Olivier Martinez Andrew Hyatt History Drama
final portrait,Drama History,Stanley Tucci,Geoffrey Rush,Armie Hammer,Clémence Poésy,Geoffrey Rush Armie Hammer Clémence Poésy Stanley Tucci Drama History
midnight sun,Romance Drama,Scott Speer,Bella Thorne,Patrick Schwarzenegger,Rob Riggle,Bella Thorne Patrick Schwarzenegger Rob Riggle Scott Speer Romance Drama
followers,Thriller,Ryan Justice,Ian Longen,Justin Maina,Sean Michael Gloria,Ian Longen Justin Maina Sean Michael Gloria Ryan Justice Thriller
ready player one,Science Fiction Adventure Action,Steven Spielberg,Tye Sheridan,Olivia Cooke,Ben Mendelsohn,Tye Sheridan Olivia Cooke Ben Mendelsohn Steven Spielberg Science Fiction Adventure Action
tyler perry's acrimony,Thriller,Tyler Perry,Taraji P. Henson,Lyriq Bent,Tika Sumpter,Taraji P. Henson Lyriq Bent Tika Sumpter Tyler Perry Thriller
god's not dead: a light in darkness,Drama,Michael Mason,David A. R. White,John Corbett,Shane Harper,David A. R. White John Corbett Shane Harper Michael Mason Drama
gemini,Science Fiction Action Drama Thriller,Aaron Katz,Lola Kirke,Zoë Kravitz,Greta Lee,Lola Kirke Zoë Kravitz Greta Lee Aaron Katz Science Fiction Action Drama Thriller
the last movie star,Drama,Adam Rifkin,Burt Reynolds,Ariel Winter,Clark Duke,Burt Reynolds Ariel Winter Clark Duke Adam Rifkin Drama
a quiet place,Horror Drama Science Fiction,John Krasinski,Scott Beck,Emily Blunt,Millicent Simmonds,Scott Beck Emily Blunt Millicent Simmonds John Krasinski Horror Drama Science Fiction
blockers,Comedy,Kay Cannon,Leslie Mann,Ike Barinholtz,John Cena,Leslie Mann Ike Barinholtz John Cena Kay Cannon Comedy
you were never really here,Thriller Drama,Lynne Ramsay,Joaquin Phoenix,Ekaterina Samsonov,Alex Manette,Joaquin Phoenix Ekaterina Samsonov Alex Manette Lynne Ramsay Thriller Drama
chappaquiddick,Drama Thriller History,John Curran,Jason Clarke,Kate Mara,Ed Helms,Jason Clarke Kate Mara Ed Helms John Curran Drama Thriller History
pandas,Documentary,"Drew Fellman, David Douglas",Kristen Bell,,,"Kristen Bell   Drew Fellman, David Douglas Documentary"
lean on pete,Drama Adventure,Andrew Haigh,Charlie Plummer,Chloë Sevigny,Travis Fimmel,Charlie Plummer Chloë Sevigny Travis Fimmel Andrew Haigh Drama Adventure
the miracle season,Drama,Sean McNamara,Helen Hunt,William Hurt,Erin Moriarty,Helen Hunt William Hurt Erin Moriarty Sean McNamara Drama
beirut,Action Thriller Drama,Brad Anderson,Jon Hamm,Rosamund Pike,Dean Norris,Jon Hamm Rosamund Pike Dean Norris Brad Anderson Action Thriller Drama
rampage,Action,Brad Peyton,Dwayne Johnson,Naomie Harris,Malin Åkerman,Dwayne Johnson Naomie Harris Malin Åkerman Brad Peyton Action
truth or dare,Thriller Horror,Jeff Wadlow,Michael Reisz,Tyler Posey,Violett Beane,Michael Reisz Tyler Posey Violett Beane Jeff Wadlow Thriller Horror
the rider,Drama Western,Chloé Zhao,Brady Jandreau,,,Brady Jandreau   Chloé Zhao Drama Western
sgt. stubby: an american hero,Animation Adventure Family History War,Richard Lanni,Mike Stokey (screenplay); Logan Lerman,Helena Bonham Carter,Gérard Depardieu,Mike Stokey (screenplay); Logan Lerman Helena Bonham Carter Gérard Depardieu Richard Lanni Animation Adventure Family History War
i feel pretty,Comedy Romance,"Abby Kohn, Marc Silverstein",Amy Schumer,Michelle Williams,Emily Ratajkowski,"Amy Schumer Michelle Williams Emily Ratajkowski Abby Kohn, Marc Silverstein Comedy Romance"
super troopers 2,Comedy Crime Mystery,Jay Chandrasekhar,Jay Chandrasekhar,Paul Soter,Steve Lemme,Jay Chandrasekhar Paul Soter Steve Lemme Jay Chandrasekhar Comedy Crime Mystery
traffik,Thriller Horror,Deon Taylor,Paula Patton,Omar Epps,Missi Pyle,Paula Patton Omar Epps Missi Pyle Deon Taylor Thriller Horror
the house of tomorrow,Drama,Peter Livolsi,Asa Butterfield,Nick Offerman,Ellen Burstyn,Asa Butterfield Nick Offerman Ellen Burstyn Peter Livolsi Drama
liz and the blue bird,Animation Drama Music,Naoko Yamada,Atsumi Tanezaki,Nao Tōyama,,Atsumi Tanezaki Nao Tōyama  Naoko Yamada Animation Drama Music
avengers: infinity war,Adventure Action Science Fiction,Anthony Russo and Joe Russo,Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,Robert Downey Jr. Chris Hemsworth Mark Ruffalo Anthony Russo and Joe Russo Adventure Action Science Fiction
disobedience,Drama Romance,Sebastián Lelio,Rebecca Lenkiewicz (screenplay); Rachel Weisz,Rachel McAdams,Alessandro Nivola,Rebecca Lenkiewicz (screenplay); Rachel Weisz Rachel McAdams Alessandro Nivola Sebastián Lelio Drama Romance
backstabbing for beginners,Thriller Drama History,Per Fly,Ben Kingsley,Theo James,Jacqueline Bisset,Ben Kingsley Theo James Jacqueline Bisset Per Fly Thriller Drama History
kings,Adventure Drama Action,Deniz Gamze Ergüven,Halle Berry,Daniel Craig,,Halle Berry Daniel Craig  Deniz Gamze Ergüven Adventure Drama Action
overboard,Romance Comedy,"Rob Greenberg, Bob Fisher (directors/screenplay); Anna Faris, Eugenio Derbez, Eva Longoria, John Hannah, Josh Segarra, Mel Rodriguez",Anna Faris,Eugenio Derbez,Eva Longoria,"Anna Faris Eugenio Derbez Eva Longoria Rob Greenberg, Bob Fisher (directors/screenplay); Anna Faris, Eugenio Derbez, Eva Longoria, John Hannah, Josh Segarra, Mel Rodriguez Romance Comedy"
tully,Drama,Jason Reitman,Charlize Theron,Mackenzie Davis,Mark Duplass,Charlize Theron Mackenzie Davis Mark Duplass Jason Reitman Drama
bad samaritan,Thriller Crime Horror,Dean Devlin,David Tennant,Robert Sheehan,Carlito Olivero,David Tennant Robert Sheehan Carlito Olivero Dean Devlin Thriller Crime Horror
the cleanse,Drama Comedy Fantasy,Bobby Miller,Johnny Galecki,Anna Friel,Oliver Platt,Johnny Galecki Anna Friel Oliver Platt Bobby Miller Drama Comedy Fantasy
the guardians,Family Animation Fantasy Action Adventure,Xavier Beauvois,Nathalie Baye,,,Nathalie Baye   Xavier Beauvois Family Animation Fantasy Action Adventure
life of the party,Comedy,Ben Falcone,Melissa McCarthy (screenplay); Melissa McCarthy,Maya Rudolph,Molly Gordon,Melissa McCarthy (screenplay); Melissa McCarthy Maya Rudolph Molly Gordon Ben Falcone Comedy
breaking in,Thriller Crime Action Horror,James McTeigue,Gabrielle Union,Billy Burke,Richard Cabral,Gabrielle Union Billy Burke Richard Cabral James McTeigue Thriller Crime Action Horror
the seagull,Drama Romance Comedy,Michael Mayer,Saoirse Ronan,Annette Bening,Corey Stoll,Saoirse Ronan Annette Bening Corey Stoll Michael Mayer Drama Romance Comedy
terminal,Crime Drama Thriller,Vaughn Stein,Margot Robbie,Simon Pegg,Dexter Fletcher,Margot Robbie Simon Pegg Dexter Fletcher Vaughn Stein Crime Drama Thriller
revenge,Fantasy Action Adventure Animation,Coralie Fargeat,Matilda Lutz,Kevin Janssens,Vincent Colombe,Matilda Lutz Kevin Janssens Vincent Colombe Coralie Fargeat Fantasy Action Adventure Animation
deadpool 2,Action Comedy Adventure,David Leitch,Ryan Reynolds,Josh Brolin,Zazie Beetz,Ryan Reynolds Josh Brolin Zazie Beetz David Leitch Action Comedy Adventure
book club,Comedy Romance Drama,Bill Holderman,Erin Simms (screenplay); Jane Fonda,Candice Bergen,Mary Steenburgen,Erin Simms (screenplay); Jane Fonda Candice Bergen Mary Steenburgen Bill Holderman Comedy Romance Drama
first reformed,Drama,Paul Schrader,Ethan Hawke,Amanda Seyfried,Cedric Kyles,Ethan Hawke Amanda Seyfried Cedric Kyles Paul Schrader Drama
pope francis: a man of his word,Documentary,Wim Wenders,,,,   Wim Wenders Documentary
show dogs,Adventure Crime Family Comedy,Raja Gosnell,Will Arnett,Natasha Lyonne,Ludacris,Will Arnett Natasha Lyonne Ludacris Raja Gosnell Adventure Crime Family Comedy
solo: a star wars story,Science Fiction Adventure,Ron Howard,Alden Ehrenreich,Woody Harrelson,Emilia Clarke,Alden Ehrenreich Woody Harrelson Emilia Clarke Ron Howard Science Fiction Adventure
how to talk to girls at parties,Comedy Music Romance Science Fiction,John Cameron Mitchell,Elle Fanning,Alex Sharp,Nicole Kidman,Elle Fanning Alex Sharp Nicole Kidman John Cameron Mitchell Comedy Music Romance Science Fiction
in darkness,Thriller Mystery,Anthony Byrne,Natalie Dormer,Emily Ratajkowski,Ed Skrein,Natalie Dormer Emily Ratajkowski Ed Skrein Anthony Byrne Thriller Mystery
the misandrists,Drama,Bruce LaBruce,Susanne Sachße,Viva Ruiz,Kembra Pfahler,Susanne Sachße Viva Ruiz Kembra Pfahler Bruce LaBruce Drama
future world,Science Fiction,"James Franco, Bruce Thierry Cheung",James Franco,Suki Waterhouse,Jeffrey Wahlberg,"James Franco Suki Waterhouse Jeffrey Wahlberg James Franco, Bruce Thierry Cheung Science Fiction"
action point,Comedy Drama,Tim Kirkby,Johnny Knoxville,Chris Pontius,,Johnny Knoxville Chris Pontius  Tim Kirkby Comedy Drama
adrift,Thriller Romance Adventure,Baltasar Kormákur,Shailene Woodley,Sam Claflin,,Shailene Woodley Sam Claflin  Baltasar Kormákur Thriller Romance Adventure
upgrade,Action Thriller Science Fiction,Leigh Whannell,Logan Marshall-Green,Betty Gabriel,Harrison Gilbertson,Logan Marshall-Green Betty Gabriel Harrison Gilbertson Leigh Whannell Action Thriller Science Fiction
american animals,Drama Crime Documentary,Bart Layton,Evan Peters,Barry Keoghan,Blake Jenner,Evan Peters Barry Keoghan Blake Jenner Bart Layton Drama Crime Documentary
social animals,Comedy Romance,Theresa Bennett,Noël Wells,Josh Radnor,Aya Cash,Noël Wells Josh Radnor Aya Cash Theresa Bennett Comedy Romance
ocean's 8,Crime Comedy Action Thriller,Gary Ross,Olivia Milch (screenplay); Sandra Bullock,Cate Blanchett,Anne Hathaway,Olivia Milch (screenplay); Sandra Bullock Cate Blanchett Anne Hathaway Gary Ross Crime Comedy Action Thriller
won't you be my neighbor?,Documentary,Morgan Neville,,,,   Morgan Neville Documentary
hereditary,Horror Mystery Thriller,Ari Aster,Toni Collette,Alex Wolff,Milly Shapiro,Toni Collette Alex Wolff Milly Shapiro Ari Aster Horror Mystery Thriller
hotel artemis,Thriller Science Fiction Action,Drew Pearce,Jodie Foster,Sterling K. Brown,Sofia Boutella,Jodie Foster Sterling K. Brown Sofia Boutella Drew Pearce Thriller Science Fiction Action
superfly,Action Crime,Director X,Trevor Jackson,Jason Mitchell,Michael K. Williams,Trevor Jackson Jason Mitchell Michael K. Williams Director X Action Crime
incredibles 2,Action Adventure Animation Family,Brad Bird,Craig T. Nelson,Holly Hunter,Sarah Vowell,Craig T. Nelson Holly Hunter Sarah Vowell Brad Bird Action Adventure Animation Family
tag,Comedy Drama,Jeff Tomsic,Ed Helms,Jeremy Renner,Jon Hamm,Ed Helms Jeremy Renner Jon Hamm Jeff Tomsic Comedy Drama
on chesil beach,Drama Romance,Dominic Cooke,Saoirse Ronan,Billy Howle,Emily Watson,Saoirse Ronan Billy Howle Emily Watson Dominic Cooke Drama Romance
gotti,Crime Drama History Thriller,Kevin Connolly,John Travolta,Kelly Preston,Stacy Keach,John Travolta Kelly Preston Stacy Keach Kevin Connolly Crime Drama History Thriller
jurassic world: fallen kingdom,Action Adventure Science Fiction,J.A. Bayona,Chris Pratt,Bryce Dallas Howard,Rafe Spall,Chris Pratt Bryce Dallas Howard Rafe Spall J.A. Bayona Action Adventure Science Fiction
boundaries,Comedy Drama,Shana Feste,Vera Farmiga,Christopher Plummer,Lewis MacDougall,Vera Farmiga Christopher Plummer Lewis MacDougall Shana Feste Comedy Drama
damsel,Comedy Western,"David Zellner, Nathan Zellner (directors/screenplay); Robert Pattinson, Mia Wasikowska",Robert Pattinson,Mia Wasikowska,,"Robert Pattinson Mia Wasikowska  David Zellner, Nathan Zellner (directors/screenplay); Robert Pattinson, Mia Wasikowska Comedy Western"
the domestics,Thriller Horror,Mike P. Nelson,Tyler Hoechlin,Kate Bosworth,Lance Reddick,Tyler Hoechlin Kate Bosworth Lance Reddick Mike P. Nelson Thriller Horror
sicario: day of the soldado,Action Crime Drama Thriller,Stefano Sollima,Benicio del Toro,Josh Brolin,Isabela Moner,Benicio del Toro Josh Brolin Isabela Moner Stefano Sollima Action Crime Drama Thriller
leave no trace,Drama,Debra Granik,Anne Rosellini (screenplay); Ben Foster,Thomasin McKenzie,Jeff Kober,Anne Rosellini (screenplay); Ben Foster Thomasin McKenzie Jeff Kober Debra Granik Drama
uncle drew,Comedy,Charles Stone III,Kyrie Irving,Lil Rel Howery,Shaquille O'Neal,Kyrie Irving Lil Rel Howery Shaquille O'Neal Charles Stone III Comedy
woman walks ahead,Drama History Western,Susanna White,Jessica Chastain,Michael Greyeyes,Chaske Spencer,Jessica Chastain Michael Greyeyes Chaske Spencer Susanna White Drama History Western
the first purge,Action Science Fiction Thriller Horror Crime,Gerard McMurray,Y'lan Noel,Lex Scott Davis,Joivan Wade,Y'lan Noel Lex Scott Davis Joivan Wade Gerard McMurray Action Science Fiction Thriller Horror Crime
ant-man and the wasp,Action Adventure Science Fiction,Peyton Reed,Paul Rudd,Evangeline Lilly,Michael Peña,Paul Rudd Evangeline Lilly Michael Peña Peyton Reed Action Adventure Science Fiction
sorry to bother you,Fantasy Science Fiction Comedy,Boots Riley,Lakeith Stanfield,Tessa Thompson,Armie Hammer,Lakeith Stanfield Tessa Thompson Armie Hammer Boots Riley Fantasy Science Fiction Comedy
whitney,Documentary,Kevin MacDonald,Whitney Houston,,,Whitney Houston   Kevin MacDonald Documentary
hotel transylvania 3: summer vacation,Family Fantasy Comedy Animation,Genndy Tartakovsky,Michael McCullers (screenplay); Adam Sandler,Andy Samberg,Selena Gomez,Michael McCullers (screenplay); Adam Sandler Andy Samberg Selena Gomez Genndy Tartakovsky Family Fantasy Comedy Animation
skyscraper,Action,Rawson Marshall Thurber,Dwayne Johnson,Neve Campbell,Chin Han,Dwayne Johnson Neve Campbell Chin Han Rawson Marshall Thurber Action
eighth grade,Comedy Drama,Bo Burnham,Elsie Fisher,Josh Hamilton,Emily Robinson,Elsie Fisher Josh Hamilton Emily Robinson Bo Burnham Comedy Drama
"don't worry, he won't get far on foot",Comedy Drama,Gus Van Sant,Joaquin Phoenix,Rooney Mara,Jonah Hill,Joaquin Phoenix Rooney Mara Jonah Hill Gus Van Sant Comedy Drama
shock and awe,Drama History Thriller,Rob Reiner,Woody Harrelson,Tommy Lee Jones,James Marsden,Woody Harrelson Tommy Lee Jones James Marsden Rob Reiner Drama History Thriller
mamma mia! here we go again,Comedy Romance,Ol Parker,Lily James,Amanda Seyfried,Pierce Brosnan,Lily James Amanda Seyfried Pierce Brosnan Ol Parker Comedy Romance
the equalizer 2,Action Thriller Crime,Antoine Fuqua,Denzel Washington,Ashton Sanders,Pedro Pascal,Denzel Washington Ashton Sanders Pedro Pascal Antoine Fuqua Action Thriller Crime
blindspotting,Comedy Drama,Carlos López Estrada,Janina Gavankar,Ethan Embry,Daveed Diggs,Janina Gavankar Ethan Embry Daveed Diggs Carlos López Estrada Comedy Drama
unfriended: dark web,Horror Mystery Thriller,Stephen Susco,Colin Woodell,Rebecca Rittenhouse,Betty Gabriel,Colin Woodell Rebecca Rittenhouse Betty Gabriel Stephen Susco Horror Mystery Thriller
bleach,Action Fantasy Adventure,Shinsuke Sato,,Hana Sugisaki,, Hana Sugisaki  Shinsuke Sato Action Fantasy Adventure
gauguin – voyage de tahiti,Drama Romance,Édouard Deluc,Étienne Comar (screenplay); Vincent Cassel,Tuheï Adams,Malik Zidi,Étienne Comar (screenplay); Vincent Cassel Tuheï Adams Malik Zidi Édouard Deluc Drama Romance
